"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,A 506,2025-05-23,B05234137836 - Worldline kortbetalning,,,,"2 371,07","-148 514,80"
,A 502,2025-05-26,B05264219988 - Worldline kortbetalning,,,,"2 397,90","-150 912,70"
,A 503,2025-05-26,B05254196636 - Worldline kortbetalning,,,,"4 299,35","-155 212,05"
,A 498,2025-05-30,B05294294981 - Worldline kortbetalning,,,,"4 690,26","-159 902,31"
,A 496,2025-06-02,B05314341919 - Worldline kortbetalning,,,,"4 914,25","-164 816,56"
,A 497,2025-06-02,B06014371231 - Worldline kortbetalning,,,,"2,49","-164 819,05"
,A 490,2025-06-03,B06034410431 - Worldline kortbetalning,,,,"2 463,08","-167 282,13"
,A 487,2025-06-05,B06054467666 - Worldline kortbetalning,,,,"3 145,16","-170 427,29"
,A 485,2025-06-09,B06094571959 - Worldline kortbetalning,,,,"1 426,23","-171 853,52"
,A 486,2025-06-09,B06074525843 - Worldline kortbetalning,,,,"4 910,27","-176 763,79"
,A 483,2025-06-11,B06114611917 - Worldline kortbetalning,,,,"3 121,28","-179 885,07"
,A 482,2025-06-13,B06134669729 - Worldline kortbetalning,,,,"6 105,27","-185 990,34"
,A 481,2025-06-16,B06154731299 - Worldline kortbetalning,,,,"2 244,68","-188 235,02"
,A 477,2025-06-19,B06194827606 - Worldline kortbetalning,,,,"602,96","-188 837,98"
,A 476,2025-06-23,B06214886452 - Worldline kortbetalning,,,,"2 546,18","-191 384,16"
,A 470,2025-06-25,B06254970813 - Worldline kortbetalning,,,,"1 625,80","-193 009,96"
,A 456,2025-06-26,World Line Sales Card,,,"201 182,00",,"8 172,04"
,A 463,2025-06-30,B06305111839 - Worldline kortbetalning,,,,"1 892,47","6 279,57"
,A 464,2025-06-30,B06285059190 - Worldline kortbetalning,,,,"6 280,39","-0,82"
,A 621,2025-07-03,Worldline card sales,,,,"865,64","-866,46"
,A 631,2025-07-07,Worldline card sales,,,,"3 806,83","-4 673,29"
,A 632,2025-07-08,Worldline card sales,,,,"2 221,81","-6 895,10"
,A 633,2025-07-10,Worldline card sales,,,,"1 343,23","-8 238,33"
,A 635,2025-07-14,Worldline card sales,,,,"2 837,70","-11 076,03"
,A 636,2025-07-15,Worldline card sales,,,,"743,25","-11 819,28"
,A 637,2025-07-17,Worldline card sales,,,,"3 845,66","-15 664,94"
,A 640,2025-07-21,Worldline card sales,,,,"198,00","-15 862,94"
,A 641,2025-07-21,Worldline card sales,,,,"493,50","-16 356,44"
,A 645,2025-07-24,Worldline card sales,,,,"2 528,26","-18 884,70"
,A 646,2025-07-28,Worldline card sales,,,,"4 848,61","-23 733,31"
,A 647,2025-07-29,Worldline card sales,,,,"3 619,76","-27 353,07"
,A 649,2025-07-31,Worldline card sales,,,,"1 865,60","-29 218,67"
,A 653,2025-08-01,Worldline card sales,,,,"6,14","-29 224,81"
,A 656,2025-08-04,Worldline card sales,,,,"6 001,77","-35 226,58"
,A 657,2025-08-04,Worldline card sales,,,,"2 515,32","-37 741,90"
,A 659,2025-08-07,Worldline card sales,,,,"3 370,02","-41 111,92"
,A 662,2025-08-11,Worldline card sales,,,,"2 418,89","-43 530,81"
,A 663,2025-08-12,Worldline card sales,,,,"1 757,15","-45 287,96"
,A 664,2025-08-13,Worldline card sales,,,,"1,98","-45 289,94"
,A 665,2025-08-14,Worldline card sales,,,,"1 879,51","-47 169,45"
,A 669,2025-08-18,Worldline card sales,,,,"1 359,16","-48 528,61"
,A 671,2025-08-26,Worldline card sales,,,,"788,03","-49 316,64"
,A 676,2025-08-27,Worldline card sales,,,,"198,99","-49 515,63"
,A 677,2025-08-28,Worldline card sales,,,,"6 558,62","-56 074,25"
,A 689,2025-09-01,Worldline card sales,,,,"4 095,38","-60 169,63"
,A 690,2025-09-01,Worldline card sales,,,,"1,50","-60 171,13"
,A 693,2025-09-02,Worldline card sales,,,,"774,10","-60 945,23"
,A 700,2025-09-04,Worldline card sales,,,,"11 344,02","-72 289,25"
,A 706,2025-09-05,Worldline card sales,,,,"4 529,31","-76 818,56"
,A 708,2025-09-06,Worldline card sales,,,,"3 904,36","-80 722,92"
,A 711,2025-09-09,Worldline card sales,,,,"5 495,34","-86 218,26"
,A 713,2025-09-15,Worldline card sales,,,,"8 216,41","-94 434,67"
,A 714,2025-09-15,Worldline card sales,,,,"3 500,37","-97 935,04"
,A 715,2025-09-18,Worldline card sales,,,,"2 649,66","-100 584,70"
,A 717,2025-09-22,Worldline card sales,,,,"6 306,25","-106 890,95"
,A 718,2025-09-22,Worldline card sales,,,,"5 883,39","-112 774,34"
,A 721,2025-09-25,Worldline card sales,,,,"10 481,25","-123 255,59"
,A 725,2025-09-29,Worldline card sales,,,,"12 047,34","-135 302,93"
,A 727,2025-09-30,Worldline settlement,,,,"17 122,87","-152 425,80"
,A 737,2025-09-30,Q3 2025 card sales via Worldline,,,"155 780,70",,"3 354,90"
,A 739,2025-09-30,Worldline transaction fees Q3 2025,,,,"772,36","2 582,54"
,A 853,2025-10-03,Worldline deposit B10037527853,,,,"6 744,05","-4 161,51"
,A 854,2025-10-06,Worldline deposit B10047556132,,,,"3 689,41","-7 850,92"
,A 856,2025-10-06,Worldline deposit B10067605445,,,,"3 336,21","-11 187,13"
,A 857,2025-10-07,Worldline deposit B10077622879,,,,"2 555,13","-13 742,26"
,A 861,2025-10-09,Worldline deposit B10097674111,,,,"0,99","-13 743,25"
,A 862,2025-10-10,Worldline deposit B10107702101,,,,"1 701,91","-15 445,16"
,A 863,2025-10-13,Worldline deposit B10127760785,,,,"5 491,37","-20 936,53"
,A 865,2025-10-14,Worldline deposit B10147798619,,,,"2 972,53","-23 909,06"
,A 868,2025-10-17,Worldline deposit B10177881088,,,,"6 687,36","-30 596,42"
,A 869,2025-10-20,Worldline deposit B10197936186,,,,"5 266,50","-35 862,92"
,A 870,2025-10-22,Worldline deposit B10228000236,,,,"7 578,34","-43 441,26"
,A 871,2025-10-24,Worldline deposit B10248056799,,,,"4 268,50","-47 709,76"
,A 872,2025-10-27,Worldline deposit B10258085288,,,,"2 928,26","-50 638,02"
,A 873,2025-10-27,Worldline deposit B10278133717,,,,"5 268,49","-55 906,51"
,A 877,2025-10-28,Worldline deposit B10288150305,,,,"4 349,13","-60 255,64"
,A 878,2025-10-29,Worldline deposit B10298175527,,,,"5 560,94","-65 816,58"
,A 879,2025-10-30,Worldline deposit B10308203309,,,,"2 750,16","-68 566,74"
,A 880,2025-10-31,Worldline deposit B10318231769,,,,"4 535,93","-73 102,67"
,A 951,2025-10-31,Worldline avgift oktober,,,,"400,67","-73 503,34"
,A 954,2025-10-31,Kortforsaljning Oktober Worldline,,,"75 685,21",,"2 181,87"
,A 882,2025-11-03,Worldline deposit B11018260572,,,,"6 164,00","-3 982,13"
,A 883,2025-11-03,Worldline deposit B11028288982,,,,"1 191,00","-5 173,13"
,A 884,2025-11-04,Worldline deposit B11048324588,,,,"2 243,70","-7 416,83"
,A 886,2025-11-07,Worldline deposit B11078404621,,,,"4 180,96","-11 597,79"
,A 887,2025-11-10,Worldline deposit B11088433471,,,,"3 324,26","-14 922,05"
,A 888,2025-11-10,Worldline deposit B11108482009,,,,"1 188,01","-16 110,06"
,A 889,2025-11-11,Worldline deposit B11118498315,,,,"2 482,51","-18 592,57"
,A 890,2025-11-12,Worldline deposit B11128524941,,,,"1 141,26","-19 733,83"
,A 891,2025-11-13,Worldline deposit B11138552310,,,,"892,51","-20 626,34"
,A 892,2025-11-14,Worldline deposit B11148578818,,,,"1 941,22","-22 567,56"
,A 894,2025-11-17,Worldline deposit B11178656600,,,,"1 981,02","-24 548,58"
,A 896,2025-11-18,Worldline deposit B11188674426,,,,"3 048,64","-27 597,22"
,A 897,2025-11-19,Worldline deposit B11198697754,,,,"16 205,47","-43 802,69"
,A 899,2025-11-20,Worldline deposit B11208725080,,,,"8 057,42","-51 860,11"
,A 900,2025-11-21,Worldline deposit B11218753235,,,,"14 373,20","-66 233,31"
,A 901,2025-11-24,Worldline deposit B11228781865,,,,"7 070,42","-73 303,73"
,A 904,2025-11-24,Worldline deposit B11248831366,,,,"29 356,25","-102 659,98"
,A 908,2025-11-26,Worldline deposit B11268872500,,,,"14 641,45","-117 301,43"
,A 911,2025-11-27,Worldline deposit B11278900577,,,,"4 219,76","-121 521,19"
,A 952,2025-11-30,Worldline avgift november,,,,"811,68","-122 332,87"
,A 955,2025-11-30,Kortforsaljning November Worldline,,,"153 447,31",,"31 114,44"
,A 914,2025-12-01,Worldline deposit B11298957172,,,,"21 737,55","9 376,89"
,A 915,2025-12-01,Worldline deposit B12019008327,,,,"7,49","9 369,40"
,A 916,2025-12-01,Worldline deposit B11308985634,,,,"8 006,70","1 362,70"
,A 917,2025-12-02,Worldline deposit B12029026954,,,,"4 400,82","-3 038,12"
,A 918,2025-12-03,Worldline deposit B12039050289,,,,"1 617,86","-4 655,98"
,A 920,2025-12-08,Worldline deposit B12069136385,,,,"10 857,31","-15 513,29"
,A 921,2025-12-08,Worldline deposit B12089184747,,,,"4 611,77","-20 125,06"
,A 923,2025-12-09,Worldline deposit B12099203466,,,,"1 710,39","-21 835,45"
,A 924,2025-12-10,Worldline deposit B12109227020,,,,"2 889,45","-24 724,90"
,A 925,2025-12-11,Worldline deposit B12119255696,,,,"2 136,02","-26 860,92"
,A 926,2025-12-12,Worldline deposit B12129284073,,,,"5 373,35","-32 234,27"
,A 936,2025-12-15,Worldline deposit B12159361494,,,,"4 866,82","-37 101,09"
,A 939,2025-12-17,Worldline deposit B12179405561,,,,"4 422,83","-41 523,92"
,A 940,2025-12-19,Worldline deposit B12199460221,,,,"6 409,08","-47 933,00"
,A 942,2025-12-22,Worldline deposit B12219518994,,,,"8 512,45","-56 445,45"
,A 945,2025-12-29,Worldline deposit B12269613247,,,,"6 894,90","-63 340,35"
,A 946,2025-12-29,Worldline deposit B12299649730,,,,"3 644,67","-66 985,02"
,A 947,2025-12-29,Worldline deposit B12249582328,,,,"4 899,72","-71 884,74"
,A 948,2025-12-30,Worldline deposit B12309664541,,,,"137,10","-72 021,84"
,A 953,2025-12-31,Worldline avgift december,,,,"542,83","-72 564,67"
,A 956,2025-12-31,Kortforsaljning December Worldline,,,"87 156,66",,"14 591,99"
,,,"""Utgående saldo:""",,"0,00","673 251,88","658 659,89","14 591,99"
,,,,,,,,
1948 Sales account,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 452,2025-03-28,Crona Kassa Sales Period 1 Oct-Mar 28,,,"110 544,00",,"110 544,00"
,A 453,2025-05-28,Shopify POS Sales Period Mar 29-May 28,,,"173 825,17",,"284 369,17"
,A 455,2025-06-26,Viva Wallet Card Payments,,,,"106 241,00","178 128,17"
,A 456,2025-06-26,World Line Sales Card,,,,"201 182,00","-23 053,83"
,A 461,2025-06-26,Kontant frsljning,,,,"24 023,00","-47 076,83"
,A 454,2025-06-30,Easy Cashier Sales Period May 29-Jun 30,,,"47 077,00",,"0,17"
,,,"""Utgående saldo:""",,"0,00","331 446,17","331 446,00","0,17"
,,,,,,,,
2091 Balanserad vinst eller förlust,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 343,2024-07-01,Opening balance SEK,,,,"561,47","-561,47"
,A 599,2025-02-01,korrgingirn av valuta fel ,,,,"1 950,00","-2 511,47"
,,,"""Utgående saldo:""",,"0,00","0,00","2 511,47","-2 511,47"
,,,,,,,,
2093 Erhållna aktieägartillskott,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 608,2025-06-30,Omfring av 65% av ln frn Ahmed Gheyath Al-Sharif till villkorat aktiegartillskott enligt avtal 2025-07-20.,,,,"1,00","-1,00"
,,,"""Utgående saldo:""",,"0,00","0,00","1,00","-1,00"
,,,,,,,,
2441 Future World Tech,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 424,2024-12-10,Sent money to FUTURE WORLD TECH,,,"124 440,54",,"124 440,54"
,A 421,2024-12-12,Sent money to FUTURE WORLD TECH,,,"276 750,00",,"401 190,54"
,A 420,2024-12-17,Sent money to FUTURE WORLD TECH,,,"134 600,68",,"535 791,22"
,A 417,2025-01-14,Sent money to FUTURE WORLD TECH,,,"110 859,71",,"646 650,93"
,A 588,2025-02-28,First China container - verfring frn Futureworld till inkp,,,,"368 492,00","278 158,93"
,A 783,2025-11-27,FOREX 861 Arlanda - Future World Tech loan,,,"6 500,00",,"284 658,93"
,A 784,2025-11-27,FOREX 861 Arlanda - Future World Tech loan,,,"10 000,00",,"294 658,93"
,A 785,2025-11-27,FOREX 861 Arlanda - Future World Tech loan,,,"10 000,00",,"304 658,93"
,A 974,2025-11-27,FOREX Arlanda - Lneavans till Future World Tech,,,"10 000,00",,"314 658,93"
,A 825,2025-12-04,Future World Tech Kina 31472.19 USD kurs 0.10645,,,"295 641,24",,"610 300,17"
,,,"""Utgående saldo:""",,"0,00","978 792,17","368 492,00","610 300,17"
,,,,,,,,
2448 Ej reskontraförda leverantörsskulder,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 91,2024-09-26,"Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296",,,,"409 265,84","-409 265,84"
,A 92,2024-10-16,"Invoice #906 (USD 30700 enl. vxelkurs 10,4144)",,,,"319 722,08","-728 987,92"
,A 462,2025-06-26,Repayment of documented loan from related party (Alsharif),,,"728 987,00",,"-0,92"
,,,"""Utgående saldo:""",,"0,00","728 987,00","728 987,92","-0,92"
,,,,,,,,
2510 Skatteskulder,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 747,2025-02-12,Debiterad preliminarskatt februari 2025,,,"1 716,00",,"1 716,00"
,A 749,2025-03-12,Debiterad preliminarskatt mars 2025,,,"1 716,00",,"3 432,00"
,A 750,2025-03-13,Beslut korrigering preliminarskatt 1,,,,"1 716,00","1 716,00"
,A 751,2025-03-13,Beslut korrigering preliminarskatt 2,,,,"1 716,00","0,00"
,A 753,2025-06-12,Arbetsgivaravgift maj 2025,,,"7 917,00",,"7 917,00"
,A 754,2025-06-12,Avdragen skatt maj 2025,,,"8 316,00",,"16 233,00"
,A 760,2025-07-14,Arbetsgivaravgift juni 2025,,,"3 431,00",,"19 664,00"
,A 761,2025-07-14,Avdragen skatt juni 2025,,,"3 276,00",,"22 940,00"
,,,"""Utgående saldo:""",,"0,00","26 372,00","3 432,00","22 940,00"
,,,,,,,,
"2611 Utgående moms på försäljning inom Sverige, 25%",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 436,2025-01-07,Received money from STRIPE,10 (25%),"0,00",,"209,81","-209,81"
,A 435,2025-01-10,Received money from STRIPE,10 (25%),"0,00",,"390,38","-600,19"
,A 433,2025-01-24,Received money from STRIPE,10 (25%),"0,00",,"127,54","-727,73"
,A 431,2025-02-07,Received money from STRIPE,10 (25%),"0,00",,"783,17","-1 510,90"
,A 580,2025-02-14,verfring - Programvara med moms,10 (25%),"0,00","140,00",,"-1 370,90"
,A 452,2025-03-28,Crona Kassa Sales Period 1 Oct-Mar 28,10 (25%),"0,00",,"22 108,00","-23 478,90"
,A 591,2025-03-31,Momsredovisning januari-mars 2025,10 (25%),"0,00","23 478,90",,"0,00"
,A 428,2025-04-04,Received money from STRIPE,10 (25%),"0,00",,"343,32","-343,32"
,A 504,2025-05-26,El i butiken - med moms,10 (25%),"0,00","163,20",,"-180,12"
,A 453,2025-05-28,Shopify POS Sales Period Mar 29-May 28,10 (25%),"0,00",,"34 765,06","-34 945,18"
,A 471,2025-06-25,Ntet - El/internet med moms,10 (25%),"0,00","124,80",,"-34 820,38"
,A 454,2025-06-30,Easy Cashier Sales Period May 29-Jun 30,10 (25%),"0,00",,"9 415,00","-44 235,38"
,A 592,2025-06-30,Momsredovisning april-juni 2025,10 (25%),"0,00","44 235,38",,"0,00"
,A 737,2025-09-30,Q3 2025 card sales via Worldline,10 (25%),"0,00",,"31 156,14","-31 156,14"
,A 738,2025-09-30,Q3 2025 cash sales,10 (25%),"0,00",,"5 254,23","-36 410,37"
,A 746,2025-09-30,Momsredovisning juli-september 2025,10 (25%),"0,00","36 410,37",,"0,00"
,A 958,2025-10-03,Shopify EUR 103.75,10 (25%),"0,00",,"238,63","-238,63"
,A 959,2025-10-10,Shopify EUR 86.12,10 (25%),"0,00",,"198,08","-436,71"
,A 960,2025-10-17,Shopify EUR 418.35,10 (25%),"0,00",,"962,21","-1 398,92"
,A 961,2025-10-24,Shopify EUR 154.12,10 (25%),"0,00",,"354,48","-1 753,40"
,A 954,2025-10-31,Kortforsaljning Oktober Worldline,10 (25%),"0,00",,"15 137,04","-16 890,44"
,A 962,2025-11-07,Shopify EUR 371.75,10 (25%),"0,00",,"855,03","-17 745,47"
,A 963,2025-11-14,Shopify EUR 86.37,10 (25%),"0,00",,"198,66","-17 944,13"
,A 964,2025-11-21,Shopify EUR 1398.29,10 (25%),"0,00",,"3 216,06","-21 160,19"
,A 965,2025-11-28,Shopify EUR 2199.39,10 (25%),"0,00",,"5 058,60","-26 218,79"
,A 1021,2025-11-28,Shopify Sale for Wise payout,10 (25%),"0,00",,"7 986,99","-34 205,78"
,A 955,2025-11-30,Kortforsaljning November Worldline,10 (25%),"0,00",,"30 689,46","-64 895,24"
,A 966,2025-12-05,Shopify EUR 573.75,10 (25%),"0,00",,"1 319,63","-66 214,87"
,A 967,2025-12-12,Shopify EUR 58.31,10 (25%),"0,00",,"134,11","-66 348,98"
,A 968,2025-12-29,Shopify EUR 86.77,10 (25%),"0,00",,"199,57","-66 548,55"
,A 956,2025-12-31,Kortforsaljning December Worldline,10 (25%),"0,00",,"17 431,33","-83 979,88"
,A 957,2025-12-31,Kontantforsaljning Q4,10 (25%),"0,00",,"8 617,55","-92 597,43"
,A 1028,2025-12-31,"Momsavstñmning Q4 2025 - UtgÑende moms till momsredovisning (korrigerad med verifikation A1033 av Mohammad Sami Alsharef, 2026-01-07)",10 (25%),"0,00","92 597,43",,"0,00"
,A 1033,2025-12-31,"Korrigering av ver.nr. A1028, Momsavstñmning Q4 2025 - UtgÑende moms till momsredovisning (av Mohammad Sami Alsharef, 2026-01-07)",10 (25%),"0,00",,"92 597,43","-92 597,43"
,A 1035,2025-12-31,Momsredovisning oktober-december 2025,10 (25%),"0,00","92 597,43",,"0,00"
,,,"""Utgående saldo:""",,"0,00","289 747,51","289 747,51","0,00"
,,,,,,,,
2615 Utgående moms import av varor 25%,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 91,2024-09-26,"Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296",60 (25%),"0,00","102 316,25",,"102 316,25"
,A 589,2024-09-30,Momsredovisning juli-september 2024,60 (25%),"0,00",,"102 316,25","0,00"
,A 92,2024-10-16,"Invoice #906 (USD 30700 enl. vxelkurs 10,4144)",60 (25%),"0,00","79 930,50",,"79 930,50"
,A 590,2024-12-31,Momsredovisning oktober-december 2024,60 (25%),"0,00",,"79 930,50","0,00"
,A 588,2025-02-28,First China container - verfring frn Futureworld till inkp,60 (25%),"0,00","92 123,00",,"92 123,00"
,A 591,2025-03-31,Momsredovisning januari-mars 2025,60 (25%),"0,00",,"92 123,00","0,00"
,,,"""Utgående saldo:""",,"0,00","274 369,75","274 369,75","0,00"
,,,,,,,,
2641 Debiterad ingående moms,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 3,2024-07-10,LAGERBOLAGET F.102576,48,"0,00","1 485,00",,"1 485,00"
,A 589,2024-09-30,Momsredovisning juli-september 2024,48,"0,00",,"1 485,00","0,00"
,A 20,2024-10-01,"CARGO CENTER KONTANTF, 202406312 FLYterminalavgift",48,"0,00","656,18",,"656,18"
,A 24,2024-10-08,Rusta,48,"0,00","236,66",,"892,84"
,A 26,2024-10-08,Biltema,48,"0,00","73,00",,"965,84"
,A 115,2024-10-08,JULA,48,"0,00",,"73,00","892,84"
,A 23,2024-10-09,Dollarstore,48,"0,00","35,14",,"927,98"
,A 23,2024-10-09,Dollarstore,48,"0,00","12,00",,"939,98"
,A 25,2024-10-09,Biltema,48,"0,00","386,88",,"1 326,86"
,A 15,2024-10-10,TEMU PO-191-055293649567125515,48,"0,00","406,07",,"1 732,93"
,A 28,2024-10-10,biltema,48,"0,00","240,20",,"1 973,13"
,A 35,2024-10-10,Clas Ohlson,48,"0,00","20,00",,"1 993,13"
,A 34,2024-10-11,biltema,48,"0,00","160,40",,"2 153,53"
,A 27,2024-10-12,Biltema,48,"0,00","99,80",,"2 253,33"
,A 30,2024-10-15,Clas Ohlson,48,"0,00","47,92",,"2 301,25"
,A 37,2024-10-16,Aimo Park Sweden,48,"0,00","62,00",,"2 363,25"
,A 16,2024-10-18,TEMU PO-191-06903722854952515,48,"0,00","243,14",,"2 606,39"
,A 33,2024-10-25,Clas Ohlson,48,"0,00","299,80",,"2 906,19"
,A 19,2024-10-28,CARGO CENTER KONTANTF. 202407034 FLYterminalavgift,48,"0,00","767,48",,"3 673,67"
,A 22,2024-10-28,Clas Ohlson,48,"0,00","49,80",,"3 723,47"
,A 29,2024-10-28,Biltema,48,"0,00","79,80",,"3 803,27"
,A 31,2024-10-28,Clas Ohlson,48,"0,00","7,98",,"3 811,25"
,A 14,2024-10-29,TEMU PO-191-15837295250472515,48,"0,00","105,30",,"3 916,55"
,A 21,2024-10-30,FASTIGHETS AB AKVARIUM F. 5002146107,48,"0,00","3 750,00",,"7 666,55"
,A 17,2024-10-31,AIMO PARK - HYRESAVI F.41986401814,48,"0,00","372,58",,"8 039,13"
,A 53,2024-11-02,Biltema,48,"0,00","154,10",,"8 193,23"
,A 52,2024-11-06,Clas Ohlson,48,"0,00","3,98",,"8 197,21"
,A 49,2024-11-07,Biltema,48,"0,00","32,94",,"8 230,15"
,A 50,2024-11-07,RUSTA,48,"0,00","9,98",,"8 240,13"
,A 54,2024-11-07,Clas Ohlson,48,"0,00","35,98",,"8 276,11"
,A 57,2024-11-07,Clas Ohlson,48,"0,00","129,88",,"8 405,99"
,A 59,2024-11-07,Clas Ohlson,48,"0,00","43,80",,"8 449,79"
,A 56,2024-11-11,Clas Ohlson,48,"0,00","79,80",,"8 529,59"
,A 58,2024-11-12,Clas Ohlson,48,"0,00",,"109,82","8 419,77"
,A 61,2024-11-15,Aimo Park Sweden,48,"0,00","62,00",,"8 481,77"
,A 75,2024-11-16,Aimo Park Sweden,48,"0,00","62,00",,"8 543,77"
,A 174,2024-11-20,Elmontering till strñckning,48,"0,00","901,40",,"9 445,17"
,A 60,2024-11-30,"Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2",48,"0,00","901,41",,"10 346,58"
,A 76,2024-12-16,Aimo Park Sweden,48,"0,00","62,00",,"10 408,58"
,A 79,2024-12-19,Aimo Park Sweden,48,"0,00","62,00",,"10 470,58"
,A 89,2024-12-30,AIMO PARK - HYRESAVI F.41986486320,48,"0,00","371,08",,"10 841,66"
,A 90,2024-12-30,Crona kassasystem,48,"0,00","44,00",,"10 885,66"
,A 341,2024-12-30,Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms,48,"0,00","5 141,50",,"16 027,16"
,A 590,2024-12-31,Momsredovisning oktober-december 2024,48,"0,00",,"16 027,16","0,00"
,A 176,2025-01-13,Crona Software AB,48,"0,00","12,20",,"12,20"
,A 177,2025-01-13,Fortnox Finans AB,48,"0,00","19,20",,"31,40"
,A 178,2025-01-14,Fortnox Finans AB,48,"0,00","19,20",,"50,60"
,A 232,2025-01-28,Viva Wallet Card Purchase - CHILIMOBIL.SE,48,"0,00","125,00",,"175,60"
,A 235,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms,48,"0,00","5 141,50",,"5 317,10"
,A 236,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms,48,"0,00","474,00",,"5 791,10"
,A 228,2025-01-30,Viva Wallet Card Purchase - Temu.com,48,"0,00","350,00",,"6 141,10"
,A 225,2025-01-31,Viva Wallet Card Purchase - Temu.com,48,"0,00","57,00",,"6 198,10"
,A 213,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","17,00",,"6 215,10"
,A 214,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","20,00",,"6 235,10"
,A 210,2025-02-05,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","18,00",,"6 253,10"
,A 208,2025-02-06,Viva Wallet Card Refund - CLAS OHLSON,48,"0,00",,"40,00","6 213,10"
,A 209,2025-02-06,Viva Wallet Card Purchase - CLAS OHLSON,48,"0,00","124,00",,"6 337,10"
,A 204,2025-02-08,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","26,00",,"6 363,10"
,A 194,2025-02-12,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","17,00",,"6 380,10"
,A 195,2025-02-12,Viva Wallet Card Purchase - Freightseeker AB,48,"0,00","31,00",,"6 411,10"
,A 582,2025-02-14,Lokalhyra - med moms,48,"0,00","4 152,00",,"10 563,10"
,A 192,2025-02-15,Viva Wallet Card Purchase - St1 Gillbergaplan,48,"0,00","128,00",,"10 691,10"
,A 190,2025-02-16,Viva Wallet Card Purchase - BILTEMA ESKILSTUNA,48,"0,00","178,00",,"10 869,10"
,A 185,2025-02-18,Viva Wallet Card Purchase - CLAS OHLSON,48,"0,00","14,00",,"10 883,10"
,A 186,2025-02-18,Viva Wallet Card Purchase - SHOPIFY* 330742565,48,"0,00","94,00",,"10 977,10"
,A 575,2025-02-28,Bankgiro - Avgift med moms,48,"0,00","500,00",,"11 477,10"
,A 576,2025-02-28,Bankgiro - Avgift med moms,48,"0,00","124,80",,"11 601,90"
,A 773,2025-02-28,Lokalhyra februari - Lagar office rent,48,"0,00","379,20",,"11 981,10"
,A 574,2025-03-10,Bankgiro - Avgift med moms,48,"0,00","160,40",,"12 141,50"
,A 566,2025-03-24,Bankgiro - Avgift med moms,48,"0,00","8,20",,"12 149,70"
,A 567,2025-03-24,Bankgiro - Avgift med moms,48,"0,00","31,20",,"12 180,90"
,A 563,2025-03-27,Bankgiro - Avgift med moms,48,"0,00","124,80",,"12 305,70"
,A 774,2025-03-27,HECKSHER LINIEAGENTURER AB - Tull inspect report shipping,48,"0,00","575,00",,"12 880,70"
